cik,cusip6,cusip8
1009405.0,098072,09807210
1012393.0,49338N,49338N10
910267.0,888314,88831410
911576.0,925391,92539110
868263.0,63845P,63845P10
1012956.0,00790K,00790K10
1109116.0,29382R,29382R10
1066134.0,218868,21886810
11544.0,084423,08442310
906551.0,74726X,74726X10
718074.0,669908,66990810
926866.0,4576J0,4576J010
819050.0,925602,92560210
940332.0,032515,03251510
1097313.0,38821G,38821G10
878560.0,85375C,85375C10
1087423.0,756577,75657710
1159041.0,90211N,90211N10
78239.0,718592,71859210
1082506.0,683718,68371810
912242.0,554382,55438210
97216.0,880779,88077910
906709.0,457191,45719110
2034.0,004446,00444610
717238.0,553531,55353110
1111553.0,M41450,M4145010
850519.0,83546Q,83546Q10
12978.0,097383,09738310
1011290.0,65440K,65440K10
840467.0,075811,07581110
1125057.0,29255W,29255W10
850141.0,440327,44032710
1141982.0,G24182,G2418210
1048477.0,09061G,09061G10
879123.0,382588,38258810
727489.0,74036W,74036W10
801898.0,481165,48116510
6955.0,00508X,00508X20
1164727.0,651639,65163910
314661.0,50419U,50419U20
1053112.0,12686C,12686C10
889900.0,703481,70348110
1130385.0,G36535,G3653510
71824.0,651639,65163910
1070750.0,44107P,44107P10
20171.0,171232,17123210
1167478.0,46206P,46206P10
807882.0,466367,46636710
882365.0,450312,45031210
898174.0,759351,75935110
780571.0,465741,46574110
1002531.0,889542,88954210
821407.0,978093,97809310
811156.0,125896,12589610
34471.0,307260,30726010
799089.0,04362P,04362P10
104889.0,939640,93964010
73952.0,677240,67724010
1096199.0,91819B,91819B10
109831.0,453235,45323510
64803.0,126650,12665010
899751.0,88830M,88830M10
740260.0,92276F,92276F10
805305.0,74838C,74838C10
913015.0,758865,75886510
796735.0,45866V,45866V10
768835.0,089302,08930210
1091667.0,16117M,16117M10
802301.0,827056,82705610
863557.0,870756,87075610
890319.0,876664,87666410
1100514.0,25388M,25388M10
817946.0,578462,57846210
883569.0,349882,34988210
1094561.0,74913K,74913K10
18532.0,152312,15231210
1073349.0,101388,10138810
853273.0,45766C,45766C10
3153.0,010392,01039261
1122976.0,73179P,73179P10
857005.0,699173,69917310
810332.0,590479,59047910
1049210.0,255064,25506410
1135338.0,705904,70590410
1063761.0,828806,82880610
718877.0,004930,00493020
1035096.0,94768C,94768C10
1035884.0,203372,20337210
1022469.0,247850,24785010
799526.0,338494,33849410
889992.0,68749B,68749B10
313143.0,405024,40502410
61611.0,560483,56048310
869369.0,58977Q,58977Q10
